,CompanyName,Location,Job_Title,SalaryEstimate,Job_Desc,NumberOfEmployees,FoundingYear,CompanyType,IndustryType,SectorType,RevenueType,Rating
0,"COGNIZE TECH SOLUTIONS
2.0",Remote,Junior Data Scientist,US$140K (Employer Est.),"Apply Statistical and Machine Learning methods to specific business problems and data.  Ensure data quality throughout all stages of acquisition and processing, including such areas as data sourcing/collection, ground truth generation, normalization, transformation, cross-lingual alignment/mapping, etc.  Using tools such as Tableau, Looker and GoogleData Studio to aggregate data from across our software tools to build and develop dashboards for both client-facing and internal purposes across the company that feature relevant KPIs and metrics  Create data dashboards and other data visualization tools to track progress to inform continuous quality improvement of the Congregate Settings Investigation and Response Unit.  Design, develop, evaluate, and release highly innovative models elevate the customer experience and track impact over time
Job Types: Full-time, Part-time",51 to 200 Employees,Company - Private,Unknown / Non-Applicable,Unknown,Unknown,-2,2.0
1,Ryden Global LLC,Remote,Data Scientist,US$140K (Employer Est.),"We are looking for a data scientist that will help us discover the information hidden in vast amounts of data, and help us make smarter decisions to deliver even better products. Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high quality prediction systems integrated with our products
Remote Role.
Duration: 12+ months
Responsibilities
Selecting features, building and optimizing classifiers using machine learning techniques
Data mining using state-of-the-art methods",-2,0,Unknown,Unknown,Unknown,-2,-2
2,Ryden Global LLC,Remote,Data Scientist,US$140K (Employer Est.),"We are looking for a data scientist that will help us discover the information hidden in vast amounts of data, and help us make smarter decisions to deliver even better products. Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high quality prediction systems integrated with our products
Remote Role.
Duration: 12+ months
Responsibilities
Selecting features, building and optimizing classifiers using machine learning techniques
Data mining using state-of-the-art methods",-2,0,Unknown,Unknown,Unknown,-2,-2
3,Tech brothers infoservices,Remote,Data Scientist,US$140K (Employer Est.),"We are looking for junior, mid-level or senior-level data scientists with the following:
Demonstrated software development experience with Python in a Unix environment.
Practical knowledge in Python Machine Learning and Data Visualization
Practical knowledge in Data ETL such as working with: Data loading from SQL, CSV, JSON, Excel, etc., Web scraping (Beautiful Soup, Scrapy, etc.) and Data Wrangling/Cleaning
Experience using the Unix command line.
Proficiency in statistical packages using any of the following: Python, R, STATA, SPSS, etc.",Unknown,Company - Public,Unknown / Non-Applicable,Unknown,Unknown,-2,-2
4,Unknown,Unknown,Unknown,US$140K (Employer Est.),Unknown,-2,0,Unknown,Unknown,Unknown,-2,-2
5,"OTSI
4.6","Dallas, TX",Senior Data Scientist,US$140K (Employer Est.),"OTSI (Object Technology Solutions, Inc) has an immediate opening for Senior Data Scientist at Dallas, TX or Kansas City, MO and it’s a 6+ Months Contract position. (Only W2).
Job Description:
· Financial industry experience
· Prefer background in credit modeling
· Python experience in model building, testing, training, but including data ingest and preparation/cleansing
· Good model / technique understanding of analytical methods like Random Forest, etc.",1 to 50 Employees,Company - Private,$1 to $5 million (USD),"Staffing, Recruitment & Subcontracting",Human Resources & Staffing,$100 to $500 million (USD),4.2
6,"TellusSolutions
3.7",Remote,Data Scientist / Machine learning/scRNASeq data Analysis,US$140K (Employer Est.),"Job Description:
Responsibilities:
Project involves developing multi-omics directed graph networks based on causal inference framework based on multiple data types (e.g., clinical, RNA-seq, epigenetic, proteomic, and/or genetic data).
Skills:
Must be expert in at least one area of causal inference such as interpretable machine learning or data fusion problem, e.g., to reduce space of plausible causal relationships and how data from multiple sources can be combined to make causal inferences.
Experience with machine learning in the context of causal inference, so that the predictive models are more than just a black box, is strongly desired.",51 to 200 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),3.7
7,"DonorSearch
3.8",Remote,Junior Data Scientist,US$140K (Employer Est.),"Background:
DonorSearch is the leading provider of prospect research solutions and AI-powered technologies, serving over 6,800 nonprofit organizations across the US. We are family-owned, headquartered in Maryland, and have a rapidly-growing remote workforce in every U.S. timezone. With our outstanding reputation and team of innovative professionals, we seek someone to join us to expand our brand and make a lasting impact on the world.
At DonorSearch, we value: Innovation, Excellence, Growth, Collaboration, and Quality.
Job Summary:
DonorSearch Ai introduced deep learning and machine learning into the nonprofit sector by building custom models with a robust interactive visualization tool to help organizations fundraise more efficiently. The Data Scientist will use best-in-class machine learning technologies to develop machine learning algorithms to meet various objectives of fundraising staff.",1 to 50 Employees,Company - Public,Accounting & Tax,Finance,Unknown / Non-Applicable,-2,3.8
8,"DonorSearch
3.8",Remote,Junior Data Scientist,US$140K (Employer Est.),"Background:
DonorSearch is the leading provider of prospect research solutions and AI-powered technologies, serving over 6,800 nonprofit organizations across the US. We are family-owned, headquartered in Maryland, and have a rapidly-growing remote workforce in every U.S. timezone. With our outstanding reputation and team of innovative professionals, we seek someone to join us to expand our brand and make a lasting impact on the world.
At DonorSearch, we value: Innovation, Excellence, Growth, Collaboration, and Quality.
Job Summary:
DonorSearch Ai introduced deep learning and machine learning into the nonprofit sector by building custom models with a robust interactive visualization tool to help organizations fundraise more efficiently. The Data Scientist will use best-in-class machine learning technologies to develop machine learning algorithms to meet various objectives of fundraising staff.",1 to 50 Employees,Company - Public,Accounting & Tax,Finance,Unknown / Non-Applicable,-2,3.8
9,"DonorSearch
3.8",Remote,Junior Data Scientist,US$140K (Employer Est.),"Background:
DonorSearch is the leading provider of prospect research solutions and AI-powered technologies, serving over 6,800 nonprofit organizations across the US. We are family-owned, headquartered in Maryland, and have a rapidly-growing remote workforce in every U.S. timezone. With our outstanding reputation and team of innovative professionals, we seek someone to join us to expand our brand and make a lasting impact on the world.
At DonorSearch, we value: Innovation, Excellence, Growth, Collaboration, and Quality.
Job Summary:
DonorSearch Ai introduced deep learning and machine learning into the nonprofit sector by building custom models with a robust interactive visualization tool to help organizations fundraise more efficiently. The Data Scientist will use best-in-class machine learning technologies to develop machine learning algorithms to meet various objectives of fundraising staff.",1 to 50 Employees,Company - Public,Accounting & Tax,Finance,Unknown / Non-Applicable,-2,3.8
10,"DonorSearch
3.8",Remote,Junior Data Scientist,US$140K (Employer Est.),"Background:
DonorSearch is the leading provider of prospect research solutions and AI-powered technologies, serving over 6,800 nonprofit organizations across the US. We are family-owned, headquartered in Maryland, and have a rapidly-growing remote workforce in every U.S. timezone. With our outstanding reputation and team of innovative professionals, we seek someone to join us to expand our brand and make a lasting impact on the world.
At DonorSearch, we value: Innovation, Excellence, Growth, Collaboration, and Quality.
Job Summary:
DonorSearch Ai introduced deep learning and machine learning into the nonprofit sector by building custom models with a robust interactive visualization tool to help organizations fundraise more efficiently. The Data Scientist will use best-in-class machine learning technologies to develop machine learning algorithms to meet various objectives of fundraising staff.",1 to 50 Employees,Company - Public,Accounting & Tax,Finance,Unknown / Non-Applicable,-2,3.8
11,"DonorSearch
3.8",Remote,Junior Data Scientist,US$140K (Employer Est.),"Background:
DonorSearch is the leading provider of prospect research solutions and AI-powered technologies, serving over 6,800 nonprofit organizations across the US. We are family-owned, headquartered in Maryland, and have a rapidly-growing remote workforce in every U.S. timezone. With our outstanding reputation and team of innovative professionals, we seek someone to join us to expand our brand and make a lasting impact on the world.
At DonorSearch, we value: Innovation, Excellence, Growth, Collaboration, and Quality.
Job Summary:
DonorSearch Ai introduced deep learning and machine learning into the nonprofit sector by building custom models with a robust interactive visualization tool to help organizations fundraise more efficiently. The Data Scientist will use best-in-class machine learning technologies to develop machine learning algorithms to meet various objectives of fundraising staff.",1 to 50 Employees,Company - Public,Accounting & Tax,Finance,Unknown / Non-Applicable,-2,3.8
